iter	Passed	Remaining
642	22556	12523
643	22593	12489
644	22627	12454
645	22663	12419
646	22697	12383
647	22731	12347
648	22764	12311
649	22800	12277
650	22835	12242
651	22868	12206
652	22905	12171
653	22946	12139
654	22985	12107
655	23026	12074
656	23062	12040
657	23095	12004
658	23126	11966
659	23160	11931
660	23194	11895
661	23228	11860
662	23266	11826
663	23301	11791
664	23334	11755
665	23368	11719
666	23401	11683
667	23435	11647
668	23470	11612
669	23509	11579
670	23536	11540
671	23566	11502
672	23596	11465
673	23631	11430
674	23662	11393
675	23696	11357
676	23732	11322
677	23767	11287
678	23799	11251
679	23835	11216
680	23870	11181
681	23906	11147
682	23939	11111
683	23973	11075
684	24011	11041
685	24047	11007
686	24082	10972
687	24118	10937
688	24154	10902
689	24189	10867
690	24222	10831
691	24258	10797
692	24290	10760
693	24327	10726
694	24362	10691
695	24398	10656
696	24432	10621
697	24468	10586
698	24504	10552
699	24538	10516
700	24572	10480
701	24607	10445
702	24639	10409
703	24671	10373
704	24705	10337
705	24736	10301
706	24771	10265
707	24803	10229
708	24835	10193
709	24864	10155
710	24897	10119
711	24932	10084
712	24968	10050
713	25007	10017
714	25046	9983
715	25092	9952
716	25131	9919
717	25174	9887
718	25213	9854
719	25248	9818
720	25284	9784
721	25318	9748
722	25354	9713
723	25388	9678
724	25425	9644
725	25470	9612
726	25508	9578
727	25541	9543
728	25575	9507
729	25604	9469
730	25638	9434
731	25671	9398
732	25704	9363
733	25740	9328
734	25776	9293
735	25810	9258
736	25844	9222
737	25882	9188
738	25920	9154
739	25957	9120
740	25994	9085
741	26029	9050
742	26063	9015
743	26096	8979
744	26131	8944
745	26166	8909
746	26200	8873
747	26232	8837
748	26267	8802
749	26303	8767
750	26335	8731
751	26368	8696
752	26403	8660
753	26438	8625
754	26472	8590
755	26508	8555
756	26540	8519
757	26573	8484
758	26609	8449
759	26647	8414
760	26676	8378
761	26710	8342
762	26745	8307
763	26781	8272
764	26814	8237
765	26849	8202
766	26883	8166
767	26917	8131
768	26951	8095
769	26984	8060
770	27015	8023
771	27050	7988
772	27082	7953
773	27116	7917
774	27153	7883
775	27190	7848
776	27227	7814
777	27267	7780
778	27312	7748
779	27359	7716
780	27401	7683
781	27444	7650
782	27488	7618
783	27527	7584
784	27582	7554
785	27620	7520
786	27661	7486
787	27702	7452
788	27742	7419
789	27784	7385
790	27836	7355
791	27879	7321
792	27923	7288
793	27963	7254
794	28008	7222
795	28059	7191
796	28128	7164
797	28188	7135
798	28230	7101
799	28279	7069
800	28327	7037
801	28370	7004
802	28410	6969
803	28444	6934
804	28475	6897
805	28507	6861
806	28542	6826
807	28576	6790
808	28610	6754
809	28643	6718
810	28676	6682
811	28708	6646
812	28740	6610
813	28773	6574
814	28808	6539
815	28837	6502
816	28870	6466
817	28900	6430
818	28933	6394
819	28967	6358
820	28995	6321
821	29032	6286
822	29071	6252
823	29108	6217
824	29142	6181
825	29176	6146
826	29208	6110
827	29245	6075
828	29281	6040
829	29313	6003
830	29350	5968
831	29382	5933
832	29417	5897
833	29448	5861
834	29481	5825
835	29515	5790
836	29547	5754
837	29581	5718
838	29617	5683
839	29652	5648
840	29688	5612
841	29724	5577
842	29756	5541
843	29793	5506
844	29831	5471
845	29864	5436
846	29900	5401
847	29934	5365
848	29969	5330
849	30007	5295
850	30046	5260
851	30085	5226
852	30119	5190
853	30154	5155
854	30188	5119
855	30223	5084
856	30260	5049
857	30293	5013
858	30329	4978
859	30363	4942
860	30401	4907
861	30434	4872
862	30470	4837
863	30503	4801
864	30544	4767
865	30583	4732
866	30618	4696
867	30654	4661
868	30690	4626
869	30726	4591
870	30759	4555
871	30791	4519
872	30823	4484
873	30856	4448
874	30892	4413
875	30932	4378
876	30966	4343
877	31001	4307
878	31035	4272
879	31069	4236
880	31102	4201
881	31137	4165
882	31171	4130
883	31207	4095
884	31244	4060
885	31279	4024
886	31311	3989
887	31345	3953
888	31383	3918
889	31421	3883
890	31456	3848
891	31492	3812
892	31524	3777
893	31556	3741
894	31589	3706
895	31624	3670
896	31658	3635
897	31689	3599
898	31723	3564
899	31757	3528
900	31790	3493
901	31823	3457
902	31863	3422
903	31898	3387
904	31939	3352
905	31973	3317
906	32006	3281
907	32040	3246
908	32073	3210
909	32107	3175
910	32139	3139
911	32175	3104
912	32210	3069
913	32244	3033
914	32278	2998
915	32315	2963
916	32351	2928
917	32384	2892
918	32418	2857
919	32450	2821
920	32484	2786
921	32518	2751
922	32553	2715
923	32587	2680
924	32621	2644
925	32657	2609
926	32690	2574
927	32724	2538
928	32759	2503
929	32796	2468
930	32829	2433
931	32864	2397
932	32901	2362
933	32936	2327
934	32968	2291
935	33000	2256
936	33034	2221
937	33068	2185
938	33102	2150
939	33134	2114
940	33167	2079
941	33200	2044
942	33232	2008
943	33262	1973
944	33295	1937
945	33329	1902
946	33361	1867
947	33394	1831
948	33427	1796
949	33462	1761
950	33495	1725
951	33527	1690
952	33560	1655
953	33594	1619
954	33631	1584
955	33663	1549
956	33694	1513
957	33725	1478
958	33758	1443
959	33792	1408
960	33826	1372
961	33859	1337
962	33892	1302
963	33925	1266
964	33961	1231
965	33993	1196
966	34025	1161
967	34060	1125
968	34093	1090
969	34127	1055
970	34158	1020
971	34192	984
972	34226	949
973	34261	914
974	34296	879
975	34332	844
976	34365	809
977	34398	773
978	34434	738
979	34464	703
980	34498	668
981	34530	632
982	34567	597
983	34605	562
984	34638	527
985	34671	492
986	34704	457
987	34736	421
988	34770	386
989	34803	351
990	34837	316
991	34867	281
992	34899	246
993	34934	210
994	34969	175
995	35001	140
996	35035	105
997	35069	70
998	35102	35
999	35132	0
