iter	Logloss
0	0.6870674087
1	0.6816273208
2	0.6767348646
3	0.6725787138
4	0.6687495213
5	0.6652396997
6	0.6620106624
7	0.6590795519
8	0.6563853405
9	0.6540199412
10	0.6518816906
11	0.6499647893
12	0.6481239876
13	0.6465220232
14	0.645027161
15	0.6436501308
16	0.6423972144
17	0.6412544129
18	0.6402217821
19	0.6393379557
20	0.6384522964
21	0.6377088944
22	0.6369475607
23	0.6362443816
24	0.6356452468
25	0.6350661293
26	0.6345351521
27	0.6340128197
28	0.6335341433
29	0.6331256353
30	0.6327193948
31	0.6323270747
32	0.6319770722
33	0.6316648622
34	0.6313374873
35	0.6310453732
36	0.630711294
37	0.6304320171
38	0.6302057195
39	0.6299705386
40	0.6297426285
41	0.629527497
42	0.6293182722
43	0.6291145451
44	0.628948312
45	0.6287121963
46	0.6285513149
47	0.6283794618
48	0.6282358063
49	0.6280211177
50	0.6278761546
51	0.6277412533
52	0.6276073537
53	0.6274624706
54	0.6273437479
55	0.6272027422
56	0.6270785317
57	0.6268771149
58	0.626771222
59	0.6266737696
60	0.626584664
61	0.6264890379
62	0.6263976988
63	0.6262617685
64	0.6261619854
65	0.6259819621
66	0.6258861419
67	0.6257971
68	0.6257119208
69	0.6256470942
70	0.6255602087
71	0.6253801626
72	0.6252042583
73	0.6251235493
74	0.6250085369
75	0.6249382701
76	0.6248854104
77	0.6247644735
78	0.6247044169
79	0.6246433104
80	0.624556574
81	0.6245015479
82	0.624419417
83	0.6243088472
84	0.6242523406
85	0.6241888393
86	0.6240047828
87	0.6239641179
88	0.6238866386
89	0.6238414273
90	0.6236729639
91	0.6236197858
92	0.6235217117
93	0.6234785437
94	0.6234358401
95	0.6233938487
96	0.6233533363
97	0.6233195995
98	0.6231776169
99	0.6231406317
100	0.62309542
101	0.6230379735
102	0.6230061795
103	0.6229655286
104	0.6229232156
105	0.6228359308
106	0.622802551
107	0.6227731834
108	0.6227476465
109	0.62269186
110	0.6226001966
111	0.6225015684
112	0.6224215753
113	0.6224022138
114	0.6223769464
115	0.6223018637
116	0.622272647
117	0.6221234696
118	0.6220959798
119	0.6220447332
120	0.6220193165
121	0.6219780558
122	0.6219563905
123	0.6219252405
124	0.6218822205
125	0.6218542675
126	0.621830816
127	0.6217640863
128	0.621706045
129	0.6216000923
130	0.6215369164
131	0.6215191898
132	0.6215031006
133	0.621487218
134	0.621394103
135	0.6213697945
136	0.6213295031
137	0.6212709676
138	0.6212491479
139	0.6211715609
140	0.6211527217
141	0.6211335432
142	0.6211118118
143	0.6210518338
144	0.6210099483
145	0.6209804842
146	0.6209344676
147	0.6208779248
148	0.6208243428
149	0.6207321955
150	0.620705324
151	0.6205911558
152	0.6205215324
153	0.6204844389
154	0.6204514355
155	0.6204386361
156	0.6204200099
157	0.6204032255
158	0.6203799841
159	0.6203479576
160	0.62031336
161	0.6202411733
162	0.6201866365
163	0.6201660597
164	0.6201487212
165	0.6200046913
166	0.619919087
167	0.6198750719
168	0.6198611838
169	0.6198462094
170	0.6198322543
171	0.6197681674
172	0.6197318359
173	0.6196067362
174	0.6195874529
175	0.6195698673
176	0.61955285
177	0.6195386302
178	0.6195213892
179	0.6195065171
180	0.6194604597
181	0.6194452478
182	0.6194231165
183	0.6193754406
184	0.6193198941
185	0.6193079992
186	0.6192444883
187	0.6192334107
188	0.6192232341
189	0.6192103319
190	0.6191561684
191	0.6191205995
192	0.6190895075
193	0.6190716306
194	0.6190360538
195	0.6189971906
196	0.6189448985
197	0.6189304811
198	0.6188896028
199	0.6188105582
200	0.6187497267
201	0.6187210908
202	0.6186806433
203	0.61864258
204	0.6185558087
205	0.6185460992
206	0.6185232183
207	0.6184579466
208	0.6184497908
209	0.6183423203
210	0.6182997111
211	0.6182775536
212	0.6182341801
213	0.6181957134
214	0.6181570257
215	0.6181438548
216	0.6181320606
217	0.6181009308
218	0.6180878245
219	0.6180795583
220	0.6180444955
221	0.6179743528
222	0.6179533217
223	0.6179420128
224	0.6179303847
225	0.6178862754
226	0.6178601323
227	0.6178372278
228	0.6178249833
229	0.6178100675
230	0.6177941195
231	0.6177816515
232	0.6176791072
233	0.6176317369
234	0.6175969944
235	0.6175362799
236	0.6174827466
237	0.6174615153
238	0.6174536117
239	0.6174424383
240	0.6174051544
241	0.617370321
242	0.6173342231
243	0.6173198476
244	0.617298054
245	0.6172862977
246	0.6172679214
247	0.6172308675
248	0.6171819663
249	0.6171677847
250	0.6171367033
251	0.6171228259
252	0.6170704446
253	0.6170385395
254	0.6170184626
255	0.6169937083
256	0.6169808011
257	0.6169687136
258	0.6169575694
259	0.6168741555
260	0.6168277086
261	0.616770944
262	0.6167491703
263	0.6167178679
264	0.6167077873
265	0.6166770314
266	0.6166510145
267	0.6166160425
268	0.6166053562
269	0.6165596628
270	0.6165488841
271	0.6165360036
272	0.6165074597
273	0.616496585
274	0.6164579939
275	0.6164215328
276	0.6164134168
277	0.6163753328
278	0.616343709
279	0.6163306309
280	0.6163001623
281	0.6162693652
282	0.6162525763
283	0.6162184994
284	0.6161726925
285	0.6161254067
286	0.6161138524
287	0.616067493
288	0.6160373612
289	0.6159900469
290	0.6159773139
291	0.6159672398
292	0.6158513288
293	0.6158221047
294	0.6158103361
295	0.6157438601
296	0.6157193314
297	0.6156845438
298	0.6156531138
