,CV_AUC,LB_AUC,Gap
lightgbm,0.7275119335637463,0.8812,-0.15368806643625366
ensemble_top3,0.7272746751794815,,
xgboost,0.7262901796081759,,
catboost,0.724636818217016,,
ensemble_weighted,0.7225425957233604,,
ensemble_avg,0.722316214084214,,
logistic_regression,0.6945968173705969,,
random_forest,0.6943969404874941,,
